HTS-4,COMMODITIES,IMPORT
0208,"MEAT AND EDIBLE MEAT OFFAL NESOI, FRESH, CHILLED OR FROZEN",15937174
0301,"FISH, LIVE",1594239
0302,"FISH, FRESH OR CHILLED, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FRESH OR CHILLED",1903996
0303,"FISH, FROZEN, EXCLUDING FISH FILLETS AND OTHER FISH MEAT WITHOUT BONES; FISH LIVERS AND ROES, FROZEN",144234095
0304,"FISH FILLETS AND OTHER FISH MEAT (WHETHER OR NOT MINCED), FRESH, CHILLED OR FROZEN",1277061628
0305,"FISH, DRIED, SALTED OR IN BRINE; SMOKED FISH; FISH MEAL FIT FOR HUMAN CONSUMPTION",55285833
0306,"CRUSTACEANS, LIVE FRESH CHILLED FROZEN DRIED ETC; SMOKED; IN SHELL, COOKED BY STEAM OR BOILING WATER; FLOURS, MEALS & PELLETS FOR HUMAN CONSUMPTION",166339662
0307,"MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED OR IN BRINE; SMOKED; FLOURS, MEALS AND PELLETS, FIT FOR HUMAN CONSUMPTION",299020432
0308,"AQUATIC INVERTEBRATES OTHER THAN CRUSTACEANS & MOLLUSCS, LIVE, FRESH, CHILLED, FROZEN, DRIED, SALTED/ IN BRINE; SMOKED; EDIBLE FLOURS, MEALS & PELLETS",3914227
0405,BUTTER AND OTHER FATS AND OILS DERIVED FROM MILK,92943
0407,"BIRDS' EGGS, IN SHELL, FRESH, PRESERVED OR COOKED",5572085
0408,"BIRDS' EGGS, NOT IN SHELL AND EGG YOLKS, FRESH, DRIED, COOKED BY STEAM ETC., MOLDED, FROZEN OR OTHERWISE PRESERVED, SWEETENED OR NOT",2390629
0409,"HONEY, NATURAL",959896
0410,"EDIBLE PRODUCTS OF ANIMAL ORIGIN, NESOI",4158213
0501,"HUMAN HAIR, UNWORKED, WHETHER OR NOT WASHED OR SCOURED; WASTE OF HUMAN HAIR",256088
0502,"PIGS', HOGS' OR BOARS' BRISTLES AND HAIR; BADGER AND OTHER BRUSHMAKING HAIR; WASTE OF SUCH BRISTLES OR HAIR",9087682
0504,"ANIMAL GUTS, BLADDERS AND STOMACHS (OTHER THAN FISH), WHOLE AND PIECES THEREOF, FRESH, CHILLED, FROZEN, SALTED, IN BRINE, DRIED OR SMOKED",150195095
0505,"BIRD SKINS AND OTHER FEATHERED PARTS OF BIRDS, FEATHERS AND PARTS OF FEATHERS AND DOWN, NOT FURTHER WORKED THAN CLEANED ETC.",114137576
0506,"BONES AND HORN-CORES, UNWORKED, DEFATTED, SIMPLY PREPARED (NOT CUT TO SHAPE), TREATED WITH ACID ETC.; POWDER AND WASTE OF THESE PRODUCTS",325250
0507,"IVORY, TORTOISE-SHELL, WHALEBONE AND WHALEBONE HAIR, HORNS, HOOVES, CLAWS ETC., UNWORKED OR SIMPLY PREPARED, NOT CUT TO SHAPE",84610
0508,"CORAL AND SIMILAR MATERIALS, MOLLUSCS, CRUSTACEANS, ECHINODERMS AND CUTTLEBONE SHELLS, UNWORKED OR SIMPLY PREPARED, NOT CUT TO SHAPE, POWDER AND WASTE",2206373
0510,"AMBERGRIS, CASTOREUM, CIVET AND MUSK; CANTHARIDES; BILE; GLANDS AND OTHER ANIMAL PRODUCTS FOR USE IN PHARMACEUTICAL PRODUCTS, FRESH, FROZEN, ETC.",69076
0511,"ANIMAL PRODUCTS NESOI; DEAD ANIMALS (OF CHAPTER 1 OR 3), UNFIT FOR HUMAN CONSUMPTION",166852738
0703,"ONIONS, SHALLOTS, GARLIC, LEEKS AND OTHER ALLIACEOUS VEGETABLES, FRESH OR CHILLED",127592442
0704,"CABBAGES, CAULIFLOWER, KOHLRABI, KALE AND SIMILAR EDIBLE BRASSICAS, FRESH OR CHILLED",106026
0706,"CARROTS, TURNIPS, SALAD BEETS, SALSIFY, RADISHES AND SIMILAR EDIBLE ROOTS, FRESH OR CHILLED",569947
0708,"LEGUMINOUS VEGETABLES, SHELLED OR UNSHELLED, FRESH OR CHILLED",195376
0709,"VEGETABLES NESOI, FRESH OR CHILLED",10916108
0710,"VEGETABLES (UNCOOKED OR COOKED BY STEAM OR BOILING WATER), FROZEN",78401853
0711,"VEGETABLES PROVISIONALLY PRESERVED (BY SULFUR DIOXIDE GAS, IN BRINE ETC.), BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION",596626
0712,"VEGETABLES, DRIED, WHOLE, CUT, SLICED, BROKEN OR IN POWDER, BUT NOT FURTHER PREPARED",177181035
0713,"LEGUMINOUS VEGETABLES, DRIED SHELLED",35595001
0714,"CASSAVA (MANIOC), ARROWROOT, SALEP, JERUSALEM ARTICHOKES, SWEET POTATOES AND SIMILAR ROOTS ETC. (HIGH STARCH ETC. CONTENT), FRESH OR DRIED; SAGO PITH",13228012
0801,"COCONUTS, BRAZIL NUTS AND CASHEW NUTS, FRESH OR DRIED",2225737
0802,"NUTS NESOI, FRESH OR DRIED",69917811
0803,"BANANAS, INCLUDING PLANTAINS, FRESH OR DRIED",1219834
0804,"DATES, FIGS, PINEAPPLES, AVOCADOS, GUAVAS, MANGOES AND MANGOSTEENS, FRESH OR DRIED",3891131
0805,"CITRUS FRUIT, FRESH OR DRIED",372358
0806,"GRAPES, FRESH OR DRIED",580752
0808,"APPLES, PEARS AND QUINCES, FRESH",19830261
0809,"APRICOTS, CHERRIES, PEACHES (INCLUDING NECTARINES), PLUMS (INCLUDING PRUNE PLUMS) AND SLOES, FRESH",10850
0810,"FRUIT NESOI, FRESH",5515879
0811,"FRUIT AND NUTS (UNCOOKED OR COOKED BY STEAM OR BOILING WATER), WHETHER NOT SWEETENED, FROZEN",9880271
0812,"FRUIT AND NUTS PROVISIONALLY PRESERVED (BY SULFUR DIOXIDE GAS, IN BRINE ETC.), BUT UNSUITABLE IN THAT STATE FOR IMMEDIATE CONSUMPTION",427913
0813,"FRUIT, DRIED, NESOI (OTHER THAN THOSE OF HEADINGS 0801 TO 0806); MIXTURES OF NUTS OR DRIED FRUITS OF THIS CHAPTER",37139485
0814,"PEEL OF CITRUS FRUIT OR MELONS (INCLUDING WATERMELONS), FRESH, FROZEN, DRIED OR PROVISIONALLY PRESERVED",293409
1001,WHEAT AND MESLIN,10050
1003,BARLEY,88263
1004,OATS,4554
1005,CORN (MAIZE),131938
1006,RICE,9224822
1007,GRAIN SORGHUM,120385
1008,"BUCKWHEAT, MILLET AND CANARY SEEDS; OTHER CEREALS (INCLUDING WILD RICE)",1624501
1101,WHEAT OR MESLIN FLOUR,1389208
1102,CEREAL FLOURS OTHER THAN OF WHEAT OR MESLIN,356090
1103,"CEREAL GROATS, MEAL AND PELLETS",253091
1104,"CEREAL GRAINS, OTHERWISE WORKED (HULLED, ROLLED ETC.), EXCEPT RICE (HEADING 1006); GERM OF CEREALS, WHOLE, ROLLED, FLAKED OR GROUND",1211321
1105,"FLOUR, MEAL FLAKES, GRANULES AND PELLETS OF POTATOES",419331
1106,"FLOUR AND MEAL OF DRIED LEGUMINOUS VEGETABLES (HD. 0713), OF SAGO OR ROOTS ETC. (HD. 0714); FLOUR, MEAL AND POWDER OF FRUIT AND NUTS ETC. (CH. 8)",34501469
1107,"MALT, WHETHER OR NOT ROASTED",11810
1108,STARCHES; INULIN,6423353
1109,"WHEAT GLUTEN, WHETHER OR NOT DRIED",1945608
1201,"SOYBEANS, WHETHER OR NOT BROKEN",8571921
1204,"FLAXSEED (LINSEED), WHETHER OR NOT BROKEN",162206
1206,"SUNFLOWER SEEDS, WHETHER OR NOT BROKEN",6390305
1207,"OIL SEEDS AND OLEAGINOUS FRUITS NESOI, WHETHER OR NOT BROKEN",21975820
1208,"FLOURS AND MEALS OF OIL SEEDS OR OLEAGINOUS FRUITS, OTHER THAN THOSE OF MUSTARD",822090
1209,"SEEDS, FRUIT AND SPORES, OF A KIND USED FOR SOWING",76525269
1211,"PLANTS AND PARTS OF PLANTS (INCLUDING SEEDS AND FRUITS), USED IN PERFUMERY, PHARMACY, OR FOR INSECTICIDAL OR SIMILAR PURPOSES, FRESH OR DRIED",94033580
1212,"LOCUST BEANS, SEAWEEDS ETC., SUGAR BEET AND SUGAR CANE; FRUIT STONES AND KERNELS AND OTHER VEGETABLE PRODUCTS USED FOR HUMAN CONSUMPTION, NESOI",55144606
1214,"RUTABAGAS (SWEDES), MANGOLDS, HAY, ALFALFA (LUCERNE), CLOVER, FORAGE KALE, LUPINES AND SIMILAR FORAGE PRODUCTS, WHETHER OR NOT IN THE FORM OF PELLETS",512627
1401,"VEGETABLE MATERIALS USED PRIMARILY FOR PLAITING, INCLUDING BAMBOOS, RATTANS, REEDS, RUSHES, OSIER, RAFFIA, PROCESSED CEREAL STRAW AND LIME BARK",16808377
1404,"VEGETABLE PRODUCTS, NESOI",11357796
1504,"FATS AND OILS AND THEIR FRACTIONS, OF FISH OR MARINE MAMMALS, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",8511329
1505,"WOOL GREASE AND FATTY SUBSTANCES DERIVED THEREFROM, INCLUDING LANOLIN",4208876
1506,"ANIMAL FATS AND OILS AND THEIR FRACTIONS, NESOI, WHETHER OR NOT REFINED, BUT NOT CHEMICALLY MODIFIED",52200
1602,"PREPARED OR PRESERVED MEAT, MEAT OFFAL OR BLOOD, NESOI",2526
1603,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES",717604
1604,PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS,250634990
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED",483179128
1701,"CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM",3577481
1702,"SUGARS NESOI, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE IN SOLID FORM; SUGAR SYRUPS (PLAIN); ARTIFICIAL HONEY; CARAMEL",10260444
1704,"SUGAR CONFECTIONARY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA",122326419
1901,"MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, MEAL ETC. CONTAINING UNDER 40% COCOA NESOI; FOOD PREPARATIONS OF MILK ETC. CONTAINING UNDER 50% COCOA NESOI",31959070
1902,"PASTA, WHETHER OR NOT COOKED OR STUFFED OR OTHERWISE PREPARED, INCLUDING SPAGETTI, LASAGNA, NOODLES ETC.; COUSCOUS, WHETHER OR NOT PREPARED",111161669
1905,"BREAD, PASTRY, CAKES, BISUITS AND OTHER BAKERS' WARES; COMMUNION WAFERS, EMPTY CAPSULES FOR MEDICINE ETC., SEALING WAFERS, RICE PAPER ETC.",37737627
2001,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID",9968297
2002,TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID,962905
2003,"MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID",5431441
2004,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN, EXC PRODUCTS OF 2006",15509945
2005,"VEGETABLES, OTHER THAN TOMATOES, MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN EXC PRDCTS OF 2006",225490667
2006,"VEGETABLES, FRUIT, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS PRESERVED BY SUGAR (DRAINED, GLACE OR CRYSTALLIZED)",3492610
2007,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SWEETENING",4625597
2008,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SWEETENING OR SPIRIT, NESOI",551780746
2009,"FRUIT JUICES NT FORTIFIED W VIT OR MINLS (INCL GRAPE MUST) & VEGETABLE JUICES, UNFERMENTD & NT CONTAING ADD SPIRIT, WHET OR NT CONTAING ADDED SWEETENG",318857290
2103,SAUCES AND PREPARATIONS THEREFOR; MIXED CONDIMENTS AND MIXED SEASONINGS; MUSTARD FLOUR AND MEAL AND PREPARED MUSTARD,75740839
2106,FOOD PREPARATIONS NESOI,39666137
2201,"WATERS, INCLUDING NATURAL OR ARTIFICIAL MINERAL WATERS AND AERATED WATERS, NOT CONTAINING ADDED SWEETENING NOR FLAVORED; ICE AND SNOW",45144
2202,"WATERS, INCLUDING MINERAL WATERS AND AERATED WATERS, CONTAINING ADDED SWEETENING OR FLAVORED, AND OTHER NONALCOHOLIC BEVERAGES NESOI",28337393
2203,BEER MADE FROM MALT,6475625
2204,"WINE OF FRESH GRAPES, INCLUDING FORTIFIED WINES; GRAPE MUST (HAVING AN ALCOHOLIC STRENGTH BY VOLUME EXCEEDING 0.5% VOL.) NESOI",549442
2206,"FERMENTED BEVERAGES, NESOI (INCLUD CIDER, PERRY & MEAD); MIXTURES OF FERMENTED BEVERAGES & MIXTURES OF FERMNTD BEVERAGES & NON-ALCOHOL BEVERAGES NESOI",1157621
2207,"ETHYL ALCOHOL, UNDENATURED, OF AN ALCOHOLIC STRENGTH BY VOLUME OF 80% VOL. OR HIGHER; ETHYL ALCOHOL AND OTHER SPIRITS, DENATURED, OF ANY STRENGTH",0
2209,VINEGAR AND SUBSTITUTES FOR VINEGAR OBTAINED FROM ACETIC ACID,2952928
2301,"FLOURS, MEALS AND PELLETS, OF MEAT OR MEAT OFFAL, OF FISH OR OF CRUSTACEANS ETC., UNFIT FOR HUMAN CONSUMPTION; GREAVES (CRACKLINGS)",1834825
2302,"BRAN, SHARPS AND OTHER RESIDUES (IN PELLETS OR NOT), DERIVED FROM THE SIFTING, MILLING OR OTHER WORKING OF CEREALS OR LEGUMINOUS PLANTS",26068741
2303,"RESIDUES OF STARCH MANUFACTURE AND OTHER RESIDUES AND WASTE OF SUGAR MANUFACTURE, BREWING OR DISTILLING DREGS AND WASTE, WHETHER OR NOT IN PELLETS",3292160
2304,"SOYBEAN OILCAKE AND OTHER SOLID RESIDUES RESULTING FROM THE EXTRACTION OF SOY BEAN OIL, WHETHER OR NOT GROUND OR IN THE FORM OF PELLETS",29399083
2306,"OILCAKE AND OTHER SOLID RESIDUES (IN PELLETS OR NOT), RESULTING FROM THE EXTRACTION OF VEGETABLE FATS OR OILS (EXCEPT FROM SOYBEANS OR PEANUTS), NESOI",5270824
2308,"VEGETABLE MATERIALS AND WASTE, VEGETABLE RESIDUES AND BY-PRODUCTS (IN PELLETS OR NOT), USED IN ANIMAL FEEDING, NESOI",5971707
2309,PREPARATIONS OF A KIND USED IN ANIMAL FEEDING,201045408
2401,"TOBACCO, UNMANUFACTURED (WHETHER OR NOT THRESHED OR SIMILARLY PROCESSED); TOBACCO REFUSE",1186177
2402,"CIGARS, CHEROOTS, CIGARILLOS AND CIGARETTES, OF TOBACCO OR OF TOBACCO SUBSTITUTES",624785
2403,"TOBACCO AND TOBACCO SUBSTITUTE MANUFACTURES, NESOI; HOMOGENIZED OR RECONSTITUTED TOBACCO; TOBACCO EXTRACTS AND ESSENCES",84923
2501,"SALT (INCL TABLE & DENATURD SALT) & PURE SODIUM CHLORIDE, WHETH/NOT IN AQUEOUS SOLUTION OR CONTAIN ADDED ANTICAKING/FREE FLOWING AGENTS; SEA WATER",11318197
2502,UNROASTED IRON PYRITES,9430
2503,"SULFUR OF ALL KINDS, OTHER THAN SUBLIMED SULFUR, PRECIPITATED SULFUR AND COLLOIDAL SULFUR",1262874
2504,NATURAL GRAPHITE,27142363
2505,"NATURAL SANDS OF ALL KINDS, OTHER THAN METAL-BEARING SANDS OF CHAPTER 26",2843990
2506,"QUARTZ (OTHER THAN NATURAL SANDS); QUARTZITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF A RECTANGULAR OR SQUARE SHAPE",21218573
2507,"KAOLIN AND OTHER KAOLINIC CLAYS, WHETHER OR NOT CALCINED",165417
2508,"CLAYS NESOI (NOT INCLUDING EXPANDED CLAYS OF HEADING 6806), ANDALUSITE, KYANITE AND SILLIMANITE (CALCINED OR NOT); MULLITE; CHAMOTTE OR DINAS EARTHS",16672605
2509,CHALK,1477376
2510,"NATURAL CALCIUM PHOSPHATES, NATURAL ALUMINUM CALCIUM PHOSPHATES AND PHOSPHATIC CHALK",2569034
2511,"NATURAL BARIUM SULFATE (BARYTES); NATURAL BARIUM CARBONATE (WITHERITE), WHETHER OR NOT CALCINED (OTHER THAN BARIUM OXIDE OF HEADING 2816)",101951312
2512,"SILICEOUS FOSSIL MEALS (INCLUDING KIESELGUHR, TRIPOLITE AND DIATOMITE) AND SIMILAR SILICEOUS EARTHS, OF AN APPARENT SPECIFIC GRAVITY OF 1 OR LESS",13901
2513,"PUMICE; EMERY; NATURAL CORUNDUM, NATURAL GARNET AND OTHER NATURAL ABRASIVES, WHETHER OR NOT HEAT-TREATED",7995306
2514,"SLATE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT, BY SAWING ETC. INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE",2064673
2515,"MARBLE, TRAVERTINE AND OTHER CALCAREOUS BUILDING ETC. STONE OF AN APPARENT SPECIFIC GRAVITY OF 2.5 OR MORE, AND ALABASTER ROUGHLY SHAPED ETC. OR CUT",2170333
2516,"GRANITE, PORPHYRY, BASALT, SANDSTONE AND OTHER BUILDING ETC. STONE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT BY SAWING ETC.",3475156
2517,"PEBBLES, GRAVEL ETC. USED FOR CONCRETE AGGREGATES ETC.; MACADAM OF SLAG, DROSS ETC.; GRANULES, CHIPPINGS AND POWDER OF MARBLE, ALABASTER, GRANITE ETC.",2002090
2518,"DOLOMITE, WHETHER OR NOT CALCINED; DOLOMITE ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; DOLOMITE RAMMING MIX",526537
2519,"NATURAL MAGNESIUM CARBONATE; FUSED MAGNESIA; DEAD-BURNED (SINTERED) MAGNESIA; OTHER MAGNESIUM OXIDE, WHETHER OR NOT PURE",79299610
2520,GYPSUM; ANHYDRITE; PLASTERS (CONSISTING OF CALCINED GYPSUM OR CALCINED SULFATE),658369
2521,"LIMESTONE FLUX; LIMESTONE AND OTHER CALCAREOUS STONE, OF A KIND USED FOR THE MANUFACTURE OF LIME OR CEMENT (OR FOR SOIL IMPROVEMENT)",601800
2522,"QUICKLIME, SLAKED LIME AND HYDRAULIC LIME, OTHER THAN CALCIUM OXIDE AND HYDROXIDE OF HEADING 2825",141143
2523,"PORTLAND CEMENT, ALUMINOUS CEMENT, SLAG CEMENT, SUPERSULFATE CEMENT AND SIMILAR HYDRAULIC CEMENTS",96861809
2525,"MICA, INCLUDING SPLITTINGS; MICA WASTE",2068432
2526,"NATURAL STEATITE, WHETHER OR NOT ROUGHLY TRIMMED OR MERELY CUT INTO BLOCKS OR SLABS OF RECTANGULAR OR SQUARE SHAPE; TALC",7326664
2529,FELDSPAR; LEUCITE; NEPHELINE AND NEPHELINE SYENITE; FLUORSPAR,6162077
2530,MINERAL SUBSTANCES NESOI,12783448
2604,NICKEL ORES AND CONCENTRATES,32642
2605,COBALT ORES AND CONCENTRATES,76800
2606,ALUMINUM ORES AND CONCENTRATES,30655743
2609,TIN ORES AND CONCENTRATES,7000
2610,CHROMIUM ORES AND CONCENTRATES,213600
2611,TUNGSTEN ORES AND CONCENTRATES,43924
2613,MOLYBDENUM ORES AND CONCENTRATES,3088978
2614,TITANIUM ORES AND CONCENTRATES,61571
2615,"NIOBIUM, TANTALUM, VANADIUM OR ZIRCONIUM ORES AND CONCENTRATES",1855455
2617,ORES AND CONCENTRATES NESOI,57336
2618,GRANULATED SLAG (SLAG SAND) FROM IRON OR STEEL MANUFACTURE,2894309
2619,"SLAG, DROSS (OTHER THAN GRANULATED SLAG), SCALINGS AND OTHER WASTE FROM THE MANUFACTURE OF IRON OR STEEL",14500
2620,"ASH AND RESIDUES (EXCEPT FROM IRON OR STEEL MANUFACTURE) CONTAINING ARSENIC, METALS OR THEIR COMPOUNDS",433353
2621,"ASH AND SLAG NESOI, INCLUDING SEAWEED ASH (KELP); ASH AND RESIDUES FROM THE INCINERATION OF MUNICIPAL WASTE",14068003
2701,"COAL; BRIQUETTES, OVOIDS AND SIMILAR SOLID FUELS MANUFACTURED FROM COAL",508907
2702,"LIGNITE, WHETHER OR NOT AGGLOMERATED, EXCLUDING JET",162546
2703,PEAT (INCLUDING PEAT LITTER) WHETHER OR NOT AGGLOMERATED,79716
2704,"COKE AND SEMICOKE OF COAL, OF LIGNITE OR OF PEAT, WHETHER OR NOT AGGLOMERATED; RETORT CARBON",698476
2707,OILS AND OTHER PRODUCTS OF THE DISTILLATION OF HIGH TEMPERATURE COAL TAR; SIMILAR PRODUCTS IN WHICH THE WEIGHT OF AROMATIC CONSTITUENTS PREDOMINATE,2527219
2708,"PITCH AND PITCH COKE, OBTAINED FROM COAL TAR OR FROM OTHER MINERAL TARS",938900
2709,"PETROLEUM OILS AND OILS FROM BITUMINOUS MINERALS, CRUDE",31507
2710,"PETROLEUM OILS& OILS FROM BITUMINOUS MINS (OTHER THAN CRUDE)& PRODUCTS THEREFROM, NESOI, CONTAINING 70% (BY WEIGHT) OR MORE OF THESE OILS; WASTE OILS",252944043
2711,PETROLEUM GASES AND OTHER GASEOUS HYDROCARBONS,1442430
2712,"PETROLEUM JELLY; PARAFFIN WAX, MICROCRYSTALLINE PETROLEUM WAX, SLACK WAX, OTHER MINERAL WAXES, AND SIMILAR PRODUCTS",134288731
2713,"PETROLEUM COKE, PETROLEUM BITUMEN AND RESIDUES OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS",14642662
2714,"BITUMEN AND ASPHALT, NATURAL; BITUMINOUS OR OIL SHALE AND TAR SANDS; ASPHALTITES AND ASPHALTIC ROCKS",824749
2715,"BITUMINOUS MIXTURES BASED ON NATURAL ASPHALT, NATURAL BITUMEN, PETROLEUM BITUMEN, MINERAL TAR OR MINERAL TAR PITCH",5469423
2801,"FLUORINE, CHLORINE, BROMINE AND IODINE",87661
2802,"SULFUR, SUBLIMED OR PRECIPITATED; COLLODIAL SULFUR",188117
2803,"CARBON, NESOI (INCLUDING CARBON BLACK)",4533200
2804,"HYDROGEN, RARE GASES AND OTHER NONMETALS",26628668
2805,"ALKALI OR ALKALINE-EARTH METALS; RARE-EARTH METALS, SCANDIUM AND YTTRIUM, WHETHER OR NOT INTERMIXED OR INTERALLOYED; MERCURY",31465479
2806,HYDROGEN CHLORIDE (HYDROCHLORIC ACID); CHLOROSULFURIC ACID,51668
2807,SULFURIC ACID; OLEUM,52918
2808,"NITRIC ACID, SULFONITRIC ACIDS",24000
2809,DIPHOSPHORUS PENTAOXIDE; PHOSPHORIC ACID AND POLYPHOSPHORIC ACIDS,44657172
2810,OXIDES OF BORON; BORIC ACIDS,116883
2811,INORGANIC ACIDS NESOI AND INORGANIC OXYGEN COMPOUNDS OF NONMETALS NESOI,119615556
2812,HALIDES AND HALIDE OXIDES OF NONMETALS,7998289
