HTS-4,COMMODITIES,IMPORT
2813,SULFIDES OF NONMETALS; COMMERCIAL PHOSPHORUS TRISULFIDE,17990
2814,"AMMONIA, ANHYDROUS OR IN AQUEOUS SOLUTION",10625
2815,SODIUM HYDROXIDE (CAUSTIC SODA); POTASSIUM HYDROXIDE (CAUSTIC POTASH); PEROXIDES OF SODIUM OR POTASSIUM,47040402
2816,"HYDROXIDE AND PEROXIDE OF MAGNESIUM; OXIDES, HYDROXIDES AND PEROXIDES OF STRONTIUM OR BARIUM",5318322
2817,ZINC OXIDE AND ZINC PEROXIDE,600571
2818,"ARTIFICIAL CORUNDUM, WHETHER OR NOT CHEMICALLY DEFINED; ALUMINUM OXIDE; ALUMINUM HYDROXIDE",101631570
2819,CHROMIUM OXIDES AND HYDROXIDES,11110199
2820,MANGANESE OXIDES,536256
2821,IRON OXIDES AND HYDROXIDES; EARTH COLORS CONTAINING BY WEIGHT 70% OR MORE OF COMBINED IRON EVALUATED AS FE203,94666608
2822,COBALT OXIDES AND HYDROXIDES; COMMERCIAL COBALT OXIDES,15389721
2823,TITANIUM OXIDES,34203416
2824,LEAD OXIDES; RED LEAD AND ORANGE LEAD,205876
2825,"HYDRAZINE AND HYDROXYLAMINE AND THEIR INORGANIC SALTS; INORGANIC BASES NESOI; METAL OXIDES, HYDROXIDES AND PEROXIDES NESOI",154587828
2826,"FLUORIDES; FLUOROSILICATES, FLUOROALUMINATES AND OTHER COMPLEX FLUORINE SALTS",50705394
2827,"CHLORIDES, CHLORIDE OXIDES AND CHLORIDE HYDROXIDES; BROMIDES AND BROMIDE OXIDES; IODIDES AND IODIDE OXIDES",80359983
2828,HYPOCHLORITES; COMMERCIAL CALCIUM HYPOCHLORITE; CHLORITES; HYPOBROMITES,6043056
2829,CHLORATES AND PERCHLORATES; BROMATES AND PERBROMATES; IODATES AND PERIODATES,4247222
2830,SULFIDES; POLYSULFIDES,9314030
2831,DITHIONITES AND SULFOXYLATES,2867424
2832,SULFITES; THIOSULFATES,8994901
2833,SULFATES; ALUMS; PEROXOSULFATES (PERSULFATES),70563159
2834,NITRITES; NITRATES,9985237
2835,"PHOSPHINATES (HYPOPHOSPHITES), PHOSPHONATES (PHOSPHITES), PHOSPHATES AND POLYPHOSPHATES",67059633
2836,CARBONATES; PEROXOCARBONATES (PERCARBONATES); COMMERCIAL AMMONIUM CARBONATE CONTAINING AMMONIUM CARBAMATE,59091937
2837,"CYANIDES, CYANIDE OXIDES AND COMPLEX CYANIDES",3371351
2839,SILICATES; COMMERCIAL ALKALI METAL SILICATES,2971798
2840,BORATES; PEROXOBORATES (PERBORATES),7049172
2841,SALTS OF OXOMETALLIC OR PEROXOMETALLIC ACIDS,54328711
2842,"SALTS OF INORGANIC ACIDS OR PEROXOACIDS, EXCLUDING AZIDES, NESOI",12997478
2843,"COLLOIDAL PRECIOUS METALS; INORGANIC OR ORGANIC COMPOUNDS OF PRECIOUS METALS, CHEMICALLY DEFINED OR NOT; AMALGAMS OF PRECIOUS METALS",419886
2845,"STABLE (NONRADIOACTIVE) ISOTOPES; COMPOUNDS, INORGANIC OR ORGANIC, OF SUCH ISOTOPES, WHETHER OR NOT CHEMICALLY DEFINED",15925
2846,"RARE-EARTH METAL COMPOUNDS, INORGANIC OR ORGANIC, OF YTTRIUM OR SCANDIUM OR OF MIXTURES OF THESE METALS",71934347
2847,"HYDROGEN PEROXIDE, WHETHER OR NOT SOLIDIFIED WITH UREA",74396
2849,"CARBIDES, WHETHER OR NOT CHEMICALLY DEFINED",97060835
2850,"HYDRIDES, NITRIDES, AZIDES, SILICIDES AND BORIDES, WHETHER OR NOT CHEMICALLY DEFINED",13345393
2852,"MERCURY COMPOUNDS, INORGANIC OR ORGANIC, WHETHER OR NOT CHEMICALLY DEFINED, EXCLUDING AMALGAMS",119688
2853,"INORGANIC COMPOUNDS NESOI; LIQUID AIR; COMPRESSED AIR; AMALGAMS, OTHER THAN OF PRECIOUS METALS",4285270
2901,ACYCLIC HYDROCARBONS,40610874
2902,CYCLIC HYDROCARBONS,27290972
2903,HALOGENATED DERIVATIVES OF HYDROCARBONS,505266908
2904,"SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF HYDROCARBONS, WHETHER OR NOT HALOGENATED",10490505
2905,"ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",94287281
2906,"CYCLIC ALCOHOLS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",41285870
2907,PHENOLS; PHENOL-ALCOHOLS,26626507
2908,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF PHENOLS OR PHENOL-ALCOHOLS",11171859
2909,"ETHERS, ETHER-ALCOHOLS, ETHER-PHENOLS, ALCOHOL PEROXIDES, KETONE PEROXIDES ETC. AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",113111356
2910,"EPOXIDES, EPOXYALCOHOLS, EPOXYPHENOLS AND EPOXYETHERS WITH A THREE-MEMBERED RING, AND HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVE",14862028
2911,"ACETALS AND HEMIACETALS, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",1806419
2912,ALDEHYDES; CYCLIC POLYMERS OF ALDEHYDES; PARAFORMALDEHYDE,92943706
2913,"HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES OF ALDEHYDE-FUNCTION COMPOUNDS",2567577
2914,"KETONES AND QUINONES, AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",256414449
2915,"SATURATED ACYCLIC MONOCARBOXYLIC ACIDS AND THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES",103859829
2916,"ACYCLIC (UNSATURATED) AND CYCLIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED ETC. DERIVATIVES",320691637
2917,"POLYCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES AND PEROXYACIDS; THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES",178808095
2918,"CARBOXYLIC ACIDS WITH ADDED OXYGEN FUNCTION AND THEIR ANHYDRIDES, HALIDES, PEROXIDES ETC.; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DERIVATIVES",443202606
2919,"PHOSPHORIC ESTERS AND THEIR SALTS, INCLUDING LACTOPHOSPHATES; THEIR HALOGENATED, SULFONATED, NITRATED, OR NITROSATED DERIVATIVES",65808395
2920,"ESTERS OF INORGANIC ACIDS OF NON-METALS (EXCLUDING ESTERS OF HYDROGEN HALIDES) NESOI AND THEIR SALTS; THEIR HALOGENATED, SULFONATED, NITRATED ETC. DE",46688888
2921,AMINE-FUNCTION COMPOUNDS,262936914
2922,OXYGEN-FUNCTION AMINO-COMPOUNDS,151545329
2923,QUATERNARY AMMONIUM SALTS AND HYDROXIDES; LECITHINS AND OTHER PHOSPHOAMINOLIPIDS,38899102
2924,CARBOXYAMIDE-FUNCTION COMPOUNDS; AMIDE-FUNCTION COMPOUNDS OF CARBONIC ACID,265768614
2925,CARBOXYIMIDE-FUNCTION COMPOUNDS (INCLUDING SACCHARIN AND ITS SALTS) AND IMINE-FUNCTION COMPOUNDS,66061927
2926,NITRILE-FUNCTION COMPOUNDS,127302492
2927,"DIAZO-, AZO-, OR AZOXY-COMPOUNDS",14149067
2928,ORGANIC DERIVATIVES OF HYDRAZINE OR HYDROXYLAMINE,24021785
2929,NITROGEN FUNCTION COMPOUNDS NESOI,81937794
2930,ORGANO-SULFUR COMPOUNDS,235481386
2931,"ORGANO-INORGANIC COMPOUNDS, NESOI",539570630
2932,HETEROCYCLIC COMPOUNDS WITH OXYGEN HETERO-ATOM(S) ONLY,225616909
2933,HETEROCYCLIC COMPOUNDS WITH NITROGEN HETERO-ATOM(S) ONLY,256477629
2934,"NUCLEIC ACIDS AND THEIR SALTS, OTHER HETEROCYCLIC COMPOUNDS",67987077
2939,"VEGETABLE ALKALOIDS, NATURAL OR SYNTHETIC, AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",463419
2940,"SUGARS, CHEMICALLY PURE, OTHER THAN SUCROSE, LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE; SUGAR ETHERS AND SUGAR ESTERS, AND THEIR SALTS, NESOI",27625158
2942,ORGANIC COMPOUNDS NESOI,20076043
3101,"ANIMAL OR VEGETABLE FERTILIZERS, INCLUDING MIXED OR CHEMICALLY TREATED; FERTILIZERS MADE BY MIXING OR CHEMICALLY TREATING ANIMAL OR VEGETABLE PRODUCTS",1290737
3102,"MINERAL OR CHEMICAL FERTILIZERS, NITROGENOUS",108106931
3103,"MINERAL OR CHEMICAL FERTILIZERS, PHOSPHATIC",277017
3104,"MINERAL OR CHEMICAL FERTILIZERS, POTASSIC",869734
3105,MINERAL OR CHEMICAL FERTILIZERS WITH TWO OF THE THREE FERTILIZER ELEMENTS; FERTILIZERS NESOI; FERTILIZERS IN PACKS ETC. NOT OVER 10 KG GROSS WEIGHT,61391850
3201,"TANNING EXTRACTS OF VEGETABLE ORIGIN; TANNINS AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES",863550
3202,SYNTHETIC ORGANIC TANNING SUBSTANCES; INORGANIC TANNING SUBSTANCES; TANNING PREPARATIONS; ENZYMATIC PREPARATIONS FOR PRE-TANNING,233854
3203,COLORING MATTER OF VEGETABLE OR ANIMAL ORIGIN AND PREPARATIONS BASED THEREON,20283881
3204,SYNTHETIC ORGANIC COLORING MATTER AND PREPARATIONS BASED THEREON; SYNTHETIC ORGANIC PRODUCTS USED AS FLUORESCENT BRIGHTENING AGENTS OR AS LUMINOPHORES,208270622
3205,COLOR LAKES; PREPARATIONS BASED ON COLOR LAKES,98988
3206,COLORING MATTER NESOI; COLORING PREPARATIONS NESOI; INORGANIC PRODUCTS USED AS LUMINOPHORES,133700112
3207,"PREPARED PIGMENTS, OPACIFIERS AND COLORS, VITRIFIABLE ENAMELS ETC. USED IN THE CERAMIC, ENAMELING OR GLASS INDUSTRY; GLASS (FRIT OR OTHER) POWDER ETC.",8823181
3208,PAINTS AND VARNISHES BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS IN A NONAQUEOUS MEDIUM; SOLUTIONS BASED ON SPECIFIED POLYMERS,18114024
3209,PAINTS AND VARNISHES BASED ON SYNTHETIC POLYMERS OR CHEMICALLY MODIFIED NATURAL POLYMERS IN AN AQUEOUS MEDIUM,1600275
3210,"PAINTS AND VARNISHES (INCLUDING ENAMELS, LACQUERS AND DISTEMPERS); PREPARED WATER PIGMENTS OF A KIND USED FOR FINISHING LEATHER",490621
3212,"PIGMENTS DISPERSED IN NONAQUEOUS MEDIA, IN LIQUID OR PASTE FORM, FOR PAINT MANUFACTURE; STAMPING FOILS; DYES AND OTHER COLORS PACKAGED FOR RETAIL SALE",33099545
3213,"ARTISTS', STUDENTS' OR SIGNBOARD PAINTERS' COLORS, MODIFYING TINTS ETC., IN TABLETS, TUBES, JARS, BOTTLES OR IN SIMILAR FORMS OR PACKINGS",88702017
3214,"GLAZIERS' PUTTY, CAULKING COMPOUNDS AND OTHER MASTICS; PAINTERS' FILLINGS; NONREFRACTORY SURFACING PREPARATIONS FOR FACADES, INDOOR WALLS, FLOORS ETC.",3285112
3215,"PRINTING INK, WRITING OR DRAWING INK AND OTHER INKS, WHETHER OR NOT CONCENTRATED OR SOLID",10517758
3301,"ESSENTIAL OILS, CONCRETES AND ABSOLUTES; RESINOID;EXTRACTED OLEORESINS; CONCEN OF ESSEN OILS AND TERPENIC BY PRODS; AQUEOUS SOLUTNS ETC. OF ESSEN OIL",1129959
3302,"MIXTURES OF ODORIFEROUS SUBSTANCES AND MIXTURES BASED ON ONE OR MORE ODORIFEROUS SUBSTANCES, OF A KIND USED AS RAW MATERIALS IN INDUSTRY OR BEV MFG",65499696
3303,PERFUMES AND TOILET WATERS,57020853
3304,"BEAUTY OR MAKE-UP AND SKIN-CARE PREPARATIONS (OTHER THAN MEDICAMENTS), INCLUDING SUNSCREENS ETC.; MANICURE OR PEDICURE PREPARATIONS",1056658760
3305,PREPARATIONS FOR USE ON THE HAIR,64185493
3306,"PREPARATIONS FOR ORAL OR DENTAL HYGIENE, INCLUDING DENTURE FIXATIVE PASTES AND POWDERS; DENTAL FLOSS YARN",3877250
3307,"PERSONAL PERFUMERY, COSMETIC OR TOILET PREPARATIONS NESOI, INCLUDING SHAVING AND BATH PREPARATIONS AND DEODORANTS ETC.; PREPARED ROOM DEODORIZERS",187440503
3401,"SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS FOR USE AS SOAP, IN BARS, CAKES ETC.; PAPER, WADDING, FELT ETC., IMPREGNATED OR COATED WITH SOAP OR DETERGENT",181741602
3402,"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP); SURFACE-ACTIVE, WASHING, AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, NESOI",93204722
3403,"LUBRICATING PREPARATIONS; ANTIRUST ETC. PREPARATIONS BASED ON LUBRICANTS; PREPARATIONS FOR THE OIL OR GREASE TREATMENT OF TEXTILES, LEATHER, FURS ETC.",709151
3404,ARTIFICIAL WAXES AND PREPARED WAXES,10081218
3405,"POLISHES AND CREAMS, FOR FOOTWEAR, FURNITURE, FLOORS, COACHWORK, GLASS OR METAL; SCOURING PASTES, POWDERS AND PREPARATIONS NESOI",8322627
3502,"ALBUMINS (INCL CNCENTRTES TWO/MORE WHEY PROTEINS, CNTNG BY WEIGHT MORE THN 80% WHEY PROTEINS CALCULATED ON DRY MATTR), ALBUMINATES & OTH ALBUMIN DERIV",209862
3506,"PREPARED GLUES AND ADHESIVES NESOI; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PACKAGED FOR RETAIL SALE, WITH NET WEIGHT NOT OVER 1 KG (2.2 LBS)",123950764
3507,ENZYMES; PREPARED ENZYMES NESOI,130409314
3606,FERROCERIUM AND OTHER PYROPHORIC ALLOYS IN ALL FORMS; ARTICLES OF SPECIFIED COMBUSTIBLE MATERIALS,3962188
3701,"PHOTOGRAPHIC PLATES AND FILM, FLAT, SENSITIZED, UNEXPOSED, NOT OF PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM, FLAT, SENSITIZED, UNEXPOSED",4076107
3702,"PHOTOGRAPHIC FILM IN ROLLS, SENSITIZED, UNEXPOSED, NOT OF PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM IN ROLLS, SENSITIZED, UNEXPOSED",10285596
3703,"PHOTOGRAPHIC PAPER, PAPERBOARD AND TEXTILES, SENSITIZED, UNEXPOSED",188957
3704,"PHOTOGRAPHIC PLATES, FILM, PAPER, PAPERBOARD AND TEXTILES, EXPOSED BUT NOT DEVELOPED",11386064
3705,"PHOTOGRAPHIC PLATES AND FILM (OTHER THAN MOTION-PICTURE FILM), EXPOSED AND DEVELOPED",188198
3707,"CHEMICAL PREPARATIONS FOR USE IN PHOTOGRAPHY; UNMIXED PRODUCTS FOR PHOTOGRAPHIC USES, PACKAGED IN MEASURED PORTIONS READY FOR USE OR RETAIL SALE",11200642
3801,"ARTIFICIAL GRAPHITE; COLLOIDAL GRAPHITE; PREPARATIONS BASED ON GRAPHITE OR OTHER CARBON IN PASTES, BLOCKS, PLATES OR OTHER SEMIMANUFACTURES",52742134
3802,"ACTIVATED CARBON; ACTIVATED NATURAL MINERAL PRODUCTS; ANIMAL BLACK, INCLUDING SPENT ANIMAL BLACK",18489870
3803,"TALL OIL, WHETHER OR NOT REFINED",4655
3804,"RESIDUAL LYES FROM THE MANUFACTURE OF WOOD PULP, WHETHER OR NOT CONCENTRATED, DESUGARED ETC., INCLUDING LIGNIN SULFONATES, BUT EXCLUDING TALL OIL",427981
3805,"GUM, WOOD OR SULFATE TURPENTINE ETC. FROM CONIFEROUS WOODS; CRUDE DIPENTENE; SULFITE TURPENTINE ETC.; PINE OIL WITH ALPHA-TERPINEOL PREDOMINATING",102221
3806,ROSIN AND RESIN ACIDS AND DERIVATIVES THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS,21509680
3807,"WOOD TAR; WOOD TAR OILS; WOOD CRESOTE; WOOD NAPHTHA; VEGETABLE PITCH; BREWERS' PITCH AND LIKE PRODUCTS BASED ON ROSIN, RESIN ACIDS OR VEGETABLE PITCH",3187
3808,"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTISPROUTING PRODUCTS ETC., PACKAGED FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES",327735923
3809,"FINISHING AGENTS, DYE CARRIERS AND OTHER PREPARATIONS (DRESSINGS, MORDANTS ETC.) USED IN THE TEXTILE, PAPER, LEATHER OR LIKE INDUSTRIES, NESOI",4979000
3810,"PICKLING PREPARATIONS FOR METAL SURFACES; SOLDERING, BRAZING OR WELDING FLUXES, POWDERS AND PASTES ETC.; CORES OR COATINGS FOR WELDING ELECTRODES ETC.",3880050
3811,ANTIKNOCK PREPARATIONS AND OTHER ADDITIVES FOR MINERAL OILS (INCLUDING GASOLINE) OR FOR OTHER LIQUIDS USED FOR THE SAME PURPOSES AS MINERAL OILS,1849907
3812,PREPARED RUBBER ACCELERATORS: COMPOUND PLASTICIZERS NESOI AND ANTIOXIDIZING PREPARATIONS AND OTHER COMPOUND STABILIZERS FOR RUBBER OR PLASTICS,33621715
3813,PREPARATIONS AND CHARGES FOR FIRE-EXTINGUISHERS; CHARGED FIRE-EXTINGUISHNG GRENADES,367783
3814,"ORGANIC COMPOSITE SOLVENTS AND THINNERS, NESOI; PREPARED PAINT OR VARNISH REMOVERS",1721023
3815,"REACTION INITIATORS, REACTION ACCELERATORS AND CATALYTIC PREPARATIONS NESOI",100473555
3816,"REFRACTORY CEMENTS, MORTARS, CONCRETES, AND SIMILAR COMPOSITIONS (EXCEPT OF GRAPHITE OR OTHER CARBON PREPARATIONS), NESOI",689933
3817,MIXED ALKYLBENZENES AND MIXED ALKYLNAPHTHALENES NESOI,404762
3818,"CHEMICAL ELEMENTS DOPED FOR USE IN ELECTRONICS, IN THE FORM OF DISCS, WAFERS OR SIMILAR FORMS; CHEMICAL COMPOUNDS DOPED FOR USE IN ELECTRONICS",109834855
3819,"HYDRAULIC BRAKE FLUIDS AND PREPARED LIQUIDS FOR HYDRAULIC TRANSMISSION, WITH LESS THAN 70% (IF ANY) BY WEIGHT OF PETROLEUM OR BITUMINOUS MINERAL OILS",14182
3824,"BINDERS MADE FOR FOUNDRY MOLDS OR CORES; CHEMICAL PRODUCTS AND PREPARATIONS, INCLUDING RESIDUAL PRODUCTS, OF THE CHEMICAL OR ALLIED INDUSTRIES, NESOI",376438013
3825,"RESIDUAL PRODUCTS OF THE CHEMICAL OR ALLIED INDUSTRIES, NESOI; MUNICIPAL WASTE; SEWAGE SLUDGE; OTHER WASTE SPECIFIED IN NOTE 6 TO THIS CHAPTER",6926578
3826,"BIODIESEL AND MIXTURES THEREOF, NOT CONTAINING OR CONTAINING LESS THAN 70% BY WEIGHT OF PETROLEUM OILS OR OILS OBTAINED FROM BITUMINOUS MINERALS",35653
3901,"POLYMERS OF ETHYLENE, IN PRIMARY FORMS",41784
3905,"POLYMERS OF VINYL ACETATE OR OF OTHER VINYL ESTERS, IN PRIMARY FORMS; VINYL POLYMERS NESOI, IN PRIMARY FORMS",34362
3909,"AMINO-RESINS, PHENOLIC RESINS AND POLYURETHANES, IN PRIMARY FORMS",219369965
3912,"CELLULOSE AND ITS CHEMICAL DERIVATIVES NESOI, IN PRIMARY FORMS",18733350
3913,"NATURAL POLYMERS AND MODIFIED NATURAL POLYMERS (INCLUDING HARDENED PROTEINS AND CHEMICAL DERIVATIVES OF NATURAL RUBBER), NESOI, IN PRIMARY FORMS",78890350
3915,"WASTE, PARINGS AND SCRAP, OF PLASTICS",11399101
3916,"MONOFILAMENT WITH A CROSS-SECTIONAL DIMENSION OVER 1 MM, RODS, STICKS AND PROFILE SHAPES, NOT MORE THAN SURFACE-WORKED, OF PLASTICS",555386
3917,"TUBES, PIPES AND HOSES, AND FITTINGS THEREFOR (INCLUDING JOINTS, ELBOWS AND FLANGES), OF PLASTICS",310460853
3918,"FLOOR COVERINGS, IN ROLLS OR TILES, OF PLASTICS; WALL OR CEILING COVERINGS, IN ROLLS NOT UNDER 45 CM (18 IN.) IN WIDTH, OF PLASTICS",1876948527
3922,"BATHS, SHOWER BATHS, SINKS, WASHBASINS, BIDETS, LAVATORY PANS, SEATS AND COVERS, FLUSHING CISTERNS AND SIMILAR SANITARY WARE, OF PLASTICS",39902131
3923,"ARTICLES FOR THE CONVEYANCE OR PACKING OF GOODS, OF PLASTICS; STOPPERS, LIDS, CAPS AND OTHER CLOSURES, OF PLASTICS",2461026996
3925,"BUILDERS' WARE OF PLASTICS, NESOI",163928581
3926,"ARTICLES OF PLASTICS AND ARTICLES OF POLYMERS AND RESINS OF HEADINGS 3901 TO 3914, NESOI",1180510140
4001,"NATURAL RUBBER, BALATA, GUTTA-PERCHA, GUAYULE, CHICLE AND SIMILAR NATURAL GUMS, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP",223013
4002,"SYNTHETIC RUBBER AND FACTICE IN PRIMARY FORMS ETC.; MIXTURES OF NATURAL RUBBER OR GUMS WITH SYNTHETIC RUBBER OR FACTICE, IN PRIMARY FORMS ETC.",43964557
4003,"RECLAIMED RUBBER IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP",6718316
4004,"WASTE, PARINGS AND SCRAP OF RUBBER (OTHER THAN HARD RUBBER) AND POWDERS AND GRANULES OBTAINED THEREFROM",1903338
4005,"COMPOUNDED RUBBER, UNVULCANIZED, IN PRIMARY FORMS OR IN PLATES, SHEETS OR STRIP",10930235
4006,"RODS, TUBES, PROFILE SHAPES AND OTHER FORMS NESOI, OF UNVULCANIZED RUBBER; ARTICLES (INCLUDING DISCS AND RINGS) OF UNVULCANIZED RUBBER",5010086
4007,VULCANIZED RUBBER THREAD AND CORD,825992
4008,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES OF VULCANIZED RUBBER OTHER THAN HARD RUBBER",46581095
4009,"TUBES, PIPES AND HOSES, OF UNHARDENED VULCANIZED RUBBER",207878211
4010,"CONVEYOR OR TRANSMISSION BELTS OR BELTING, OF VULCANIZED RUBBER",95524353
4011,"NEW PNEUMATIC TIRES, OF RUBBER",1851144527
4012,"RETREADED OR USED PNEUMATIC TIRES OF RUBBER; SOLID OR CUSHION TIRES, TIRE TREADS AND TIRE FLAPS, OF RUBBER",76056001
4013,"INNER TUBES FOR TIRES, OF RUBBER",45684145
4015,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES (INCLUDING GLOVES, MITTENS AND MITTS), FOR ALL PURPOSES, OF UNHARDENED VULCANIZED RUBBER",257448121
4016,"ARTICLES NESOI, OF UNHARDENED VULCANIZED RUBBER",651010942
4017,"HARD RUBBER (FOR EXAMPLE, EBONITE) IN ALL FORMS, INCLUDING WASTE AND SCRAP; ARTICLES OF HARD RUBBER",4803297
4104,"TANNED OR CRUST HIDES/SKINS OF BOVINE (INC. BUFFALO) OR EQUINE ANIMALS, WITHOUT HAIR ON WHETHER/NOT SPLIT, NT FURT PREPED, NES",295438
